Texas A&M Aggies,298,Tyler Davis\tyler-davis-5,34,JR,C,6-10,265,Plano TX,Plano West HS,14.9,8.9,1.3
Texas A&M Aggies,298,Admon Gilder\admon-gilder-1,3,JR,G,6-3,186,Dallas TX,Madison HS,12.3,4.1,2.6
Texas A&M Aggies,298,DJ Hogg\dj-hogg-1,1,JR,F,6-8,216,Plano TX,Plano West HS,11.1,5.3,2.6
Texas A&M Aggies,298,TJ Starks\tj-starks-1,2,FR,G,6-2,196,Lancaster TX,Lancaster High School,9.9,2,2.3
Texas A&M Aggies,298,Robert Williams\robert-williams-3,44,SO,F,6-9,237,Vivian LA,North Caddo Magnet High School,10.4,9.2,1.4
Texas A&M Aggies,298,Tonny Trocha-Morelos\tonny-trocha-morelos-1,10,SR,C,6-10,221,Colombia,Mayor Jose Celestino Mutis,6.7,4.3,1.1
Texas A&M Aggies,298,Duane Wilson\duane-wilson-1,13,SR,G,6-2,185,Milwaukee WI,Dominican HS,9,2,4
Texas A&M Aggies,298,Jay Jay Chandler\jayjay-chandler-1,0,FR,G,6-4,180,Katy TX,Cinco Ranch High School,3.7,1.2,0.7
Texas A&M Aggies,298,Savion Flagg\savion-flagg-1,5,FR,G,6-7,217,Alvin TX,Alvin High School,4.1,3.4,0.7
Texas A&M Aggies,298,JJ Caldwell\jj-caldwell-1,4,,G,6-1,184,Houston TX,Cypress Woods High School,2.9,1.9,2.6
